Fuel Type Code,Station Name,City,State,ZIP,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,,,,
ELEC,City of Lacey - City Hall Parking,Lacey,WA,98503,Public,,4,,,,,
ELEC,Avista Corp,Spokane,WA,99252,Public,1,2,,,,City,Count of State
ELEC,Steam Plant Grill,Spokane,WA,99201,Public,,1,,,,Aberdeen,1
ELEC,BELLEVUE BELLEVUE CH 1,Bellevue,WA,98004,Public,,2,,,,Airway Heights,1
ELEC,The Evergreen State College,Olympia,WA,98505,Public,2,2,,,,Anacortes,5
ELEC,Washington Department of Labor & Industries - Department of Health - Department of Transportation,Tumwater,WA,98501,Public - Call ahead,,6,,,,Arlington,7
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,Issaquah,WA,98027,Public,,2,,,,Ashford,2
ELEC,UWB CASCADIA CC NORTH DUAL 1,Bothell,WA,98011,Public,,2,,,,Auburn,14
ELEC,CITY OF REDMOND CITY HALL DUAL,Redmond,WA,98052,Public,,2,,,,Bainbridge Island,5
ELEC,CITY OF REDMOND MOC #1 PUBLIC,Redmond,WA,98052,Public,,2,,,,Belfair,1
ELEC,WILLOWS LODGE WILLOWS #2,Woodinville,WA,98072,Public,,2,,,,Bellevue,142
ELEC,Bellingham Nissan,Bellingham,WA,98229,Public - Call ahead,,2,1,,,Bellingham,24
ELEC,Advantage Nissan,Bremerton,WA,98312,Public - Call ahead,,1,,,,Benton City,1
ELEC,Burien Nissan,Burien,WA,98148,Public - Call ahead,,2,1,,,Blaine,4
ELEC,Campbell-Nelson Nissan,Edmonds,WA,98026,Public - Call ahead,,2,,,,Bothell,17
ELEC,Campbell Nissan - Everett,Everett,WA,98204,Public - Call ahead,,2,,,,Bremerton,9
ELEC,Olympia Nissan,Olympia,WA,98502,Public - Call ahead,,1,,,,Bridgeport,1
ELEC,Bill Robertson Nissan,Pasco,WA,99301,Public - Call ahead,,1,,,,Burien,12
ELEC,Dan Wilder Nissan,Port Angeles,WA,98362,Public - Call ahead,,2,1,,,Burlington,4
ELEC,Puyallup Nissan,Puyallup,WA,98371,Public - Call ahead,,1,1,,,Camano,1
ELEC,Younker Nissan,Renton,WA,98058,Public,,1,1,,,Camas,1
ELEC,Wendle Nissan,Spokane,WA,99218,Public - Call ahead,,1,,,,Carson,1
ELEC,Dave Smith Nissan - Spokane,Spokane Valley,WA,99212,Public - Call ahead,,2,1,,,Castle Rock,1
ELEC,Tacoma Nissan,Tacoma,WA,98409,Public - Call ahead,,1,,,,Cathlamet,2
ELEC,Alan Webb Nissan,Vancouver,WA,98662,Public - Call ahead,,1,,,,Centralia,2
ELEC,O'Brien Nissan,Walla Walla,WA,99362,Public - Call ahead,,1,,,,Chehalis,1
ELEC,KEY CENTER KEY CENTER 6,Bellevue,WA,98004,Public,,2,,,,Chelan,4
ELEC,KRC SKYLINE SKYLINE #1,Bellevue,WA,98004,Public,,2,,,,Clarkston,1
ELEC,Snohomish County - Campus Garage,Everett,WA,98201,Public,,8,,,,Cle Elum,4
ELEC,Caplan's Rainbow Parking,Seattle,WA,98104,Public,,2,,,,College Place,1
ELEC,CITY OF SEATAC CITY HALL 1,SeaTac,WA,98188,Public,,2,,,,Colville,2
ELEC,TPU TPU HQ #6,Tacoma,WA,98409,Public,,2,,,,Concrete,1
ELEC,City of Tacoma - Park Plaza North,Tacoma,WA,98402,Public,,4,,,,Connell,1
ELEC,BELLEVUE SBCC #2,Bellevue,WA,98006,Public,,2,,,,Copalis Crossing,1
ELEC,EASTGATE OFFICE EASTGATE DUAL 1,Bellevue,WA,98007,Public,,2,,,,Cougar,1
ELEC,KIRKLAND CITY HALL 1,Kirkland,WA,98033,Public,,2,,,,Coulee City,1
