,,,,,Population,,Growth,Land area[5],
City,Type[3],County[4],Electrical Rate ,Rate Per KWhr,2019 estimate[6],2010 Census[5],2010-2019,sq mi,km2
Pullman,Code,Whitman,9.57¢/kWh.,9.57,"34,506","29,799",15.80%,9.88,25.6
Tekoa,Second,Whitman,9.57¢/kWh.,9.57,799,778,2.70%,1.14,3
Asotin,Code,Asotin,9.57¢/kWh,9.57,"1,289","1,251",3.04%,1.05,2.7
Palouse,Second,Whitman,9.57¢/kWh,9.57,"1,075",998,7.72%,1.08,2.8
Prescott,Code,Walla Walla,9.5¢/kWh.,9.5,305,318,-4.09%,0.4,1
Republic,Code,Ferry,9.37¢/kWh,9.18,"1,066","1,073",-0.65%,1.59,4.1
Battle Ground,Code,Clark,9.18¢/kWh.[,9.18,"21,252","17,571",20.95%,7.86,20.4
Camas,Code,Clark,9.18¢/kWh,9.18,"24,418","19,355",26.16%,13.74,35.6
La Center,Code,Clark,9.18¢/kWh,9.18,"3,404","2,800",21.57%,2.21,5.7
Vancouver,First,Clark,9.18¢/kWh,9.18,"184,463","161,791",14.01%,46.78,121.2
Washougal,Code,Clark,9.18¢/kWh,9.18,"16,107","14,095",14.27%,5.47,14.2
Bingen,Code,Klickitat,8.73¢/kWh,8.73,742,712,4.21%,0.62,1.6
Goldendale,Code,Klickitat,8.73¢/kWh,8.73,"3,505","3,485",0.57%,2.52,6.5
Colville,Second,Stevens,8.68¢/kWh,,"4,832","4,673",3.40%,2.97,7.7
Gig Harbor,Code,Pierce,8.68¢/kWh,,"10,717","7,126",50.39%,5.95,15.4
Kettle Falls,Code,Stevens,8.68¢/kWh,,"1,635","1,595",2.51%,1.12,2.9
Elma,Code,Grays Harbor,8.55¢/kWh.,,"3,351","3,107",7.85%,1.89,4.9
Hoquiam,Code,Grays Harbor,8.55¢/kWh.,,"8,655","8,726",-0.81%,9.08,23.5
Montesano,Code,Grays Harbor,8.55¢/kWh.,,"4,052","3,976",1.91%,10.58,27.4
Aberdeen,First,Grays Harbor,8.55¢/kWh,8.55,"16,756","16,896",-0.83%,10.65,27.6
Cosmopolis,Code,Grays Harbor,8.55¢/kWh,,"1,662","1,649",0.79%,1.33,3.4
Oakville,Code,Grays Harbor,8.55¢/kWh,,692,684,1.17%,0.5,1.3
Ocean Shores,Code,Grays Harbor,8.55¢/kWh,,"6,494","5,569",16.61%,8.51,22
Westport,Code,Grays Harbor,8.55¢/kWh,,"2,100","2,099",0.05%,3.68,9.5
Clarkston,Code,Asotin,8.53¢/kWh,8.53,"7,375","7,229",2.02%,2.01,5.2
Roy,Code,Pierce,8.53¢/kWh,,822,793,3.66%,0.49,1.3
Everett,First,Snohomish,8.44¢/kWh.[,,"111,475","103,019",8.21%,33.11,85.8
Gold Bar,Code,Snohomish,8.44¢/kWh.[,,"2,352","2,075",13.35%,1.03,2.7
Granite Falls,Code,Snohomish,8.44¢/kWh.,,"4,234","3,364",25.86%,2.19,5.7
Lake Stevens,Code,Snohomish,8.44¢/kWh.,,"33,911","28,069",20.81%,8.88,23
Arlington,Code,Snohomish,8.44¢/kWh,,"20,523","17,926",14.49%,9.3,24.1
Brier,Code,Snohomish,8.44¢/kWh,,"6,970","6,087",14.51%,2.13,5.5
Edgewood,Code,Pierce,8.44¢/kWh,,"13,053","9,387",39.05%,8.41,21.8
Edmonds,Code,Snohomish,8.44¢/kWh,,"42,605","39,709",7.29%,8.9,23.1
Lynnwood,Code,Snohomish,8.44¢/kWh,,"39,141","35,836",9.22%,7.85,20.3
Marysville,Code,Snohomish,8.44¢/kWh,,"70,298","60,020",17.12%,20.69,53.6
Mill Creek,Code,Snohomish,8.44¢/kWh,,"20,897","18,244",14.54%,4.66,12.1
Monroe,Code,Snohomish,8.44¢/kWh,,"19,776","17,304",14.29%,6.05,15.7
Mountlake Terrace,Code,Snohomish,8.44¢/kWh,,"21,338","19,909",7.18%,4.06,10.5
Mukilteo,Code,Snohomish,8.44¢/kWh,,"21,441","20,254",5.86%,6.34,16.4
Snohomish,Code,Snohomish,8.44¢/kWh,,"10,154","9,098",11.61%,3.46,9
Stanwood,Code,Snohomish,8.44¢/kWh,,"7,287","6,231",16.95%,2.82,7.3
Sultan,Code,Snohomish,8.44¢/kWh,,"5,388","4,651",15.85%,3.15,8.2
Woodway,Code,Snohomish,8.44¢/kWh,,"1,391","1,307",6.43%,1.11,2.9
Pasco,Code,Franklin,8.32¢/kWh.,,"75,432","59,781",26.18%,31.46,81.5
Mesa,Code,Franklin,8.32¢/kWh,,508,489,3.89%,1.64,4.2
Moxee,Code,Yakima,8.23¢/kWh.,,"4,104","3,308",24.06%,2.2,5.7
Toppenish,Code,Yakima,8.23¢/kWh.,,"8,809","8,949",-1.56%,2.11,5.5
Waitsburg,Unclassified,Walla Walla,8.23¢/kWh.,,"1,231","1,217",1.15%,1.12,2.9
Wapato,Second,Yakima,8.23¢/kWh.,,"5,010","4,997",0.26%,1.17,3
College Place,Code,Walla Walla,8.23¢/kWh,,"9,317","8,765",6.30%,2.68,6.9
Dayton,Code,Columbia,8.23¢/kWh,,"2,442","2,526",-3.33%,1.43,3.7
Grandview,Code,Yakima,8.23¢/kWh,,"11,078","10,862",1.99%,6.23,16.1
Granger,Code,Yakima,8.23¢/kWh,,"3,830","3,246",17.99%,1.79,4.6
Mabton,Code,Yakima,8.23¢/kWh,,"2,268","2,286",-0.79%,0.81,2.1
Pomeroy,Code,Garfield,8.23¢/kWh,,"1,395","1,425",-2.11%,1.78,4.6
Selah,Code,Yakima,8.23¢/kWh,,"8,087","7,147",13.15%,4.51,11.7
Tieton,Code,Yakima,8.23¢/kWh,,"1,308","1,191",9.82%,0.82,2.1
Union Gap,Code,Yakima,8.23¢/kWh,,"6,200","6,125",1.22%,5.06,13.1
Zillah,Code,Yakima,8.23¢/kWh,,"3,140","2,964",5.94%,1.85,4.8
Tacoma,First,Pierce,8.14¢/kWh.,,"217,827","198,397",9.79%,49.73,128.8
Forks,Code,Clallam,8.09¢/kWh,,"3,880","3,532",9.85%,3.91,10.1
Sequim,Code,Clallam,8.09¢/kWh,,"7,640","6,606",15.65%,6.31,16.3
Chewelah,Code,Stevens,8.07¢/kWh,,"2,676","2,607",2.65%,2.98,7.7
Liberty Lake,Code,Spokane,7.98¢/kWh.,,"10,956","7,591",44.33%,6.14,15.9
Airway Heights,Code,Spokane,7.98¢/kWh,7.98,"9,485","6,114",55.14%,5.12,13.3
Colfax,Second,Whitman,7.98¢/kWh,,"2,872","2,805",2.39%,3.79,9.8
Davenport,Second,Lincoln,7.98¢/kWh,,"1,744","1,708",2.11%,1.82,4.7
Harrington,Code,Lincoln,7.98¢/kWh,,418,424,-1.42%,0.38,0.98
Medical Lake,Code,Spokane,7.98¢/kWh,,"4,966","5,060",-1.86%,3.4,8.8
Sprague,Code,Lincoln,7.98¢/kWh,,460,446,3.14%,0.63,1.6
West Richland,Code,Benton,7.85¢/kWh,7.85,"15,075","11,811",27.64%,21.97,56.9
Ilwaco,Code,Pacific,7.73¢/kWh.,,991,936,5.88%,2.1,5.4
Raymond,Code,Pacific,7.73¢/kWh,,"2,994","2,882",3.89%,4.06,10.5
South Bend,Code,Pacific,7.73¢/kWh,,"1,698","1,637",3.73%,1.63,4.2
Othello,Code,Adams,7.65¢/kWh.,7.65,"8,386","7,364",13.88%,3.81,9.9
Ritzville,Second,Adams,7.65¢/kWh,7.65,"1,654","1,673",-1.14%,1.7,4.4
Ellensburg,Code,Kittitas,7.63¢/kWh.,,"21,111","18,174",16.16%,7.03,18.2
Centralia,Code,Lewis,7.62¢/kWh.,,"17,745","16,336",8.63%,7.49,19.4
Benton City,Code,Benton,7.59¢/kWh,7.59,"3,495","3,038",15.04%,2.43,6.3
Kennewick,Code,Benton,7.59¢/kWh,7.59,"84,347","73,917",14.11%,26.87,69.6
Shelton,Code,Mason,7.59¢/kWh,,"10,655","9,834",8.35%,5.76,14.9
Fircrest,Code,Pierce,7.5¢/kWh.,,"6,835","6,497",5.20%,1.58,4.1
University Place,Code,Pierce,7.5¢/kWh,,"34,001","31,144",9.17%,8.43,21.8
Grand Coulee,Code,Grant,7.44¢/kWh,,"1,048",988,6.07%,1.24,3.2
North Bonneville,Code,Skamania,7.37¢/kWh.,,"1,007",956,5.33%,2.41,6.2
Kelso,Code,Cowlitz,7.29¢/kWh.,,"12,417","11,925",4.13%,8.14,21.1
Longview,Code,Cowlitz,7.29¢/kWh.,,"38,440","36,648",4.89%,14.54,37.7
Castle Rock,Code,Cowlitz,7.29¢/kWh,,"2,298","1,982",15.94%,1.99,5.2
Kalama,Code,Cowlitz,7.29¢/kWh,,"2,798","2,344",19.37%,2.77,7.2
Deer Park,Code,Spokane,7.27¢/kWh,,"4,364","3,652",19.50%,6.89,17.8
McCleary,Code,Grays Harbor,7.2¢/kWh.,,"1,764","1,653",6.72%,2.05,5.3
Richland,First,Benton,6.93¢/kWh,6.93,"58,225","48,058",21.16%,38.56,99.9
Blaine,Code,Whatcom,6.74¢/kWh.,,"5,607","4,684",19.71%,5.63,14.6
Connell,Code,Franklin,6.62¢/kWh.,,"5,545","4,209",31.74%,7.87,20.4
Kahlotus,Code,Franklin,6.62¢/kWh,,193,193,0%,0.47,1.2
Milton,Code,Pierce,6.59¢/kWh,,"8,299","6,968",19.10%,2.62,6.8
Omak,Code,Okanogan,6.51¢/kWh.[,,"4,778","4,845",-1.38%,3.46,9
Pateros,Code,Okanogan,6.51¢/kWh.,,714,667,7.05%,0.49,1.3
Oroville,Code,Okanogan,6.51¢/kWh,,"1,675","1,686",-0.65%,1.64,4.2
Sumas,Code,Whatcom,6.4¢/kWh.,,"1,534","1,307",17.37%,1.48,3.8
Morton,Code,Lewis,6.34¢/kWh,,"1,199","1,126",6.48%,0.82,2.1
Mossyrock,Code,Lewis,6.34¢/kWh,,820,759,8.04%,0.68,1.8
Vader,Code,Lewis,6.34¢/kWh,,670,621,7.89%,0.93,2.4
Cheney,Code,Spokane,6.19¢/kWh,,"12,522","10,590",18.24%,4.35,11.3
Newport,Code,Pend Oreille,6.12¢/kWh.,,"2,199","2,126",3.43%,1.35,3.5
Spokane,First,Spokane,5.71¢/kWh,,"222,081","208,916",6.30%,68.73,178
Ephrata,Code,Grant,4.85¢/kWh.,,"8,136","7,664",6.16%,10.09,26.1
Quincy,Code,Grant,4.85¢/kWh.,,"8,033","6,750",19.01%,4.98,12.9
Soap Lake,Code,Grant,4.85¢/kWh.,,"1,603","1,514",5.88%,1.3,3.4
George,Code,Grant,4.85¢/kWh,,516,501,2.99%,1.33,3.4
Mattawa,Code,Grant,4.85¢/kWh,,"4,758","4,437",7.23%,0.74,1.9
Royal City,Code,Grant,4.85¢/kWh,,"2,237","2,140",4.53%,1.35,3.5
Warden,Code,Grant,4.85¢/kWh,,"2,812","2,692",4.46%,2.66,6.9
Entiat,Code,Chelan,3.22¢/kWh.,,"1,280","1,112",15.11%,2.11,5.5
Chelan,Code,Chelan,3.22¢/kWh,,"4,237","3,890",8.92%,6.36,16.5
Leavenworth,Code,Chelan,3.22¢/kWh,,"2,029","1,965",3.26%,1.23,3.2
East Wenatchee,Code,Douglas,2.64¢/kWh,,"14,219","13,190",7.80%,3.8,9.8
Rock Island,Code,Douglas,2.64¢/kWh,,"1,124",788,42.64%,0.62,1.6
Algona,Code,King,10.36¢/kWh.,10.36,"3,208","3,014",6.44%,1.3,3.4
Anacortes,Code,Skagit,10.36¢/kWh.,,"17,527","15,778",11.09%,11.76,30.5
Bainbridge Island,Code,Kitsap,10.36¢/kWh.,,"25,298","23,025",9.87%,27.61,71.5
Black Diamond,Code,King,10.36¢/kWh.,,"4,781","4,151",15.18%,6.56,17
Enumclaw,Code,King,10.36¢/kWh.,,"12,190","10,669",14.26%,5.16,13.4
Fife,Code,Pierce,10.36¢/kWh.,,"10,184","9,173",11.02%,5.69,14.7
Lacey,Code,Thurston,10.36¢/kWh.,,"52,592","42,393",24.06%,16.06,41.6
Newcastle,Code,King,10.36¢/kWh.,,"12,292","10,380",18.42%,4.45,11.5
Oak Harbor,Code,Island,10.36¢/kWh.,,"23,565","22,075",6.75%,9.65,25
Sammamish,Code,King,10.36¢/kWh.,,"65,892","45,780",43.93%,18.41,47.7
